#Station Number    Run    Start    End    Run Type    antennaIceA#I1    antennaIceB#I1    opIceA#I1    opIceB#I1    attIceA#I1    attIceB#I1    Run_Start_Type    Run_End_Type    enableExtTrigger#I1    Quality    aComment    uComment
ARA01  10116   1515320105   1515321906       Data  1  1  1  0  0  0  User: brianclark ; Log: kick starting data taking      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10117   1515321908   1515323709       Data  1  1  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10119   1515324746   1515326547       Data  1  1  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10121   1515327588   1515329389       Data  1  1  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10123   1515330427   1515332228       Data  1  1  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10125   1515333262   1515335063       Data  1  1  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10127   1515336102   1515337903       Data  1  1  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10131   1515341774   1515343575       Data  1  1  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10135   1515347450   1515349251       Data  1  1  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10137   1515350287   1515352088       Data  1  1  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10139   1515353124   1515354925       Data  1  1  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10141   1515355961   1515357762       Data  1  1  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10143   1515358796   1515360597       Data  1  1  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10145   1515361634   1515363435       Data  1  1  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10147   1515364471   1515366272       Data  1  1  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
ARA01  10149   1515367309   1515369110       Data  1  1  1  0  0  0  Timed start by ARAd      Stopped by ARAd  0           NA                             NA                             NA
