run_num	username	run_quality	user_comment
9562	brianclark	spicecore	“See DocDB 1589 for depth vs time data”
9563	brianclark	spicecore	“See DocDB 1589 for depth vs time data”
9564	brianclark	spicecore	“See DocDB 1589 for depth vs time data”
9565	brianclark	spicecore	“See DocDB 1589 for depth vs time data”
9566	brianclark	spicecore	“See DocDB 1589 for depth vs time data”
9567	brianclark	spicecore	“See DocDB 1589 for depth vs time data”
9568	brianclark	spicecore	“See DocDB 1589 for depth vs time data”
9569	brianclark	spicecore	“See DocDB 1589 for depth vs time data”
9570	brianclark	spicecore	“See DocDB 1589 for depth vs time data”
9571	brianclark	spicecore	“See DocDB 1589 for depth vs time data”
9810	brianclark	surfpulse	“Hpol, 6 dB att”
9812	brianclark	surfpulse	“Hpol, 15 dB att”
9815	brianclark	surfpulse	“Vpol, 6 dB att”
9816	brianclark	surfpulse	“Hpol, 6 dB att”
9832	brianclark	deeppulse	“Hole 1 Shallow, 8:44:26 to 9:07 AM NZT”
9833	brianclark	deeppulse	“Hole 1 Shallow, 9:15:21 to ~9:35 AM NZT
9834	brianclark	deeppulse	“Hole 22 Shallow, ~10:00  to ~10:18:54 AM NZT”
9835	brianclark	deeppulse	“Hole 1 Deep, 10:21:29 to 10:28:30 AM NZT”
9836	brianclark	deeppulse	“Hole 1 Deep, ~10:20 to 10:32 AM NZT”
9842	brianclark	roofpulse	“Vpol, ICL pulser, pointed at WT3”
9844	brianclark	roofpulse	“Hpol, 15 dB att”
9845	brianclark	roofpulse	“Hpol, ICL pulser, pulser on 22:45:46 Jan 21 UTC, pointed at WT3”
9846	brianclark	roofpulse	“Vpol, ICL pulser, pulser on 23:00:40 Jan 21 UTC, pointed at A2/A5”
9847	brianclark	roofpulse	“Hpol, ICL pulser, pointed at A2/A5”
9848	brianclark	roofpulse	“Hpol, ICL pulser, pulser on 23:20:37 Jan 21 UTC, pointed at A2/A5”
11076	brianclark	deeppulse	“See DocDB 1667; pulse date is June 25 2018; hole 22 shallow 21:28:00-21:43:00 UTC; hole shallow 22 22:03:00-21:18:00 UTC; hole 1 shallow 22:23:42-22:53:42 UTC”
